우선순위,구_y,단속장소,예측단속건수,최대예측단속건수,위험점수,위험등급,위험시간,추천대응
1,의창구,힐스테이트아티움시티 10,8.1,18.9,100.0,높음,13시,고위험 시간대 집중 순찰 + 사전 주정차 안내
2,의창구,팔용동탑마트주변,6.9,18.2,84.2,높음,9시,고위험 시간대 집중 순찰 + 사전 주정차 안내
3,의창구,용동창원중앙역승강장,5.9,13.8,71.9,높음,11시,위험 시간대 사전 안내 + 순찰 강화
4,의창구,창원터미널,5.7,16.4,70.0,보통,18시,위험 시간대 사전 안내 + 순찰 강화
5,의창구,용동한마음병원주변,4.7,18.3,57.2,보통,13시,일반 모니터링 및 계도
6,의창구,팔용동공영주차빌딩,4.3,11.4,52.3,보통,13시,일반 모니터링 및 계도
7,의창구,지귀상가맞은편,3.3,18.9,40.6,보통,14시,일반 모니터링 및 계도
8,의창구,북면덕산아내2차주변,3.0,6.7,37.1,낮음,20시,일반 모니터링 및 계도
9,의창구,용동현대썬앤빌주변2,2.7,8.8,32.8,낮음,13시,일반 모니터링 및 계도
10,의창구,명곡동사거리부근,2.4,9.9,30.0,낮음,9시,일반 모니터링 및 계도
11,의창구,서상동 평산로219번길,2.4,6.0,30.0,낮음,10시,일반 모니터링 및 계도
12,의창구,팔용동아티움시티103동앞,2.3,4.2,27.8,낮음,17시,일반 모니터링 및 계도
13,의창구,용동창원중앙역회전차로,2.1,4.3,25.4,낮음,15시,일반 모니터링 및 계도
14,의창구,팔용동 파티마빌딩 사거,2.1,5.3,25.2,낮음,14시,일반 모니터링 및 계도
15,의창구,유니시티2단지203동앞,1.9,3.0,23.2,낮음,14시,일반 모니터링 및 계도
16,의창구,팔용동 벽산아파트 주변,1.9,5.5,22.9,낮음,20시,일반 모니터링 및 계도
17,의창구,봉곡동봉곡삼거리,1.7,5.3,20.7,낮음,10시,일반 모니터링 및 계도
18,의창구,북면 힐프라자 주변,1.5,2.5,18.0,낮음,9시,일반 모니터링 및 계도
19,의창구,팔용동아티움시티101동앞,1.4,4.8,17.5,낮음,13시,일반 모니터링 및 계도
20,의창구,도계동 원이대로56번길,1.4,7.1,17.1,낮음,19시,일반 모니터링 및 계도
21,의창구,중동 의창대로266번길,1.4,3.3,17.0,낮음,9시,일반 모니터링 및 계도
22,의창구,중동어반브릭스앞,1.3,2.2,16.2,낮음,18시,일반 모니터링 및 계도
23,의창구,팔용동 사화로18번길,1.3,4.0,15.5,낮음,10시,일반 모니터링 및 계도
24,의창구,봉림동 태복산로,1.2,15.3,14.9,낮음,14시,일반 모니터링 및 계도
25,의창구,무동 상신빌딩 앞,1.2,3.2,14.5,낮음,9시,일반 모니터링 및 계도
26,의창구,팔용동 반계로,1.2,7.1,14.1,낮음,7시,일반 모니터링 및 계도
27,의창구,소답동 의안민원센타,1.1,2.1,13.3,낮음,16시,일반 모니터링 및 계도
28,의창구,팔용동 팔용로,1.0,2.1,12.8,낮음,7시,일반 모니터링 및 계도
29,의창구,중동의창초등학교주변,1.0,2.2,12.8,낮음,9시,일반 모니터링 및 계도
30,의창구,봉림동 대봉로26번길,1.0,3.0,12.7,낮음,14시,일반 모니터링 및 계도
31,의창구,사림동 사림로,1.0,10.4,12.7,낮음,18시,일반 모니터링 및 계도
32,의창구,무동휴먼빌3단지앞주변,1.0,2.8,12.5,낮음,20시,일반 모니터링 및 계도
33,의창구,용동창원중앙역앞도로,1.0,2.9,12.0,낮음,13시,일반 모니터링 및 계도
34,의창구,경남창원과학기술진흥원,1.0,2.2,11.9,낮음,9시,일반 모니터링 및 계도
35,의창구,팔용동 창원대로18번길,0.9,3.0,11.5,낮음,10시,일반 모니터링 및 계도
36,의창구,도계동도계초등학교,0.9,2.5,11.0,낮음,20시,일반 모니터링 및 계도
37,의창구,사림동 용동로84번길,0.9,12.0,10.9,낮음,13시,일반 모니터링 및 계도
38,의창구,봉림동 소봉로,0.9,2.2,10.6,낮음,13시,일반 모니터링 및 계도
39,의창구,용동미래드림 주변,0.8,2.8,10.4,낮음,13시,일반 모니터링 및 계도
40,의창구,팔용동행정복지센터주변,0.8,2.2,9.8,낮음,18시,일반 모니터링 및 계도
41,의창구,봉곡동 원이대로,0.8,2.2,9.8,낮음,14시,일반 모니터링 및 계도
42,의창구,봉곡동 512,0.8,3.8,9.7,낮음,20시,일반 모니터링 및 계도
43,의창구,용동미래리움 주변,0.7,2.0,9.2,낮음,9시,일반 모니터링 및 계도
44,의창구,팔용동 테크노벨리,0.7,1.7,9.1,낮음,9시,일반 모니터링 및 계도
45,의창구,팔용동 514-7,0.7,2.4,8.9,낮음,20시,일반 모니터링 및 계도
46,의창구,명서동 서곡길,0.7,2.3,8.7,낮음,10시,일반 모니터링 및 계도
47,의창구,봉곡동 502-41,0.7,1.7,8.6,낮음,21시,일반 모니터링 및 계도
48,의창구,소답동 읍성로,0.7,3.2,8.0,낮음,10시,일반 모니터링 및 계도
49,의창구,팔룡벽산블루밍B 108동앞,0.6,1.9,7.9,낮음,20시,일반 모니터링 및 계도
50,의창구,도계동 도계두리길,0.6,2.4,7.7,낮음,9시,일반 모니터링 및 계도
51,의창구,사림동 퇴촌로,0.6,3.4,7.7,낮음,14시,일반 모니터링 및 계도
52,의창구,팔용동 사화로1번길,0.6,2.7,7.4,낮음,10시,일반 모니터링 및 계도
53,의창구,북면북면초등학교,0.6,2.2,7.4,낮음,13시,일반 모니터링 및 계도
54,의창구,봉곡동 지귀로,0.6,6.7,7.3,낮음,20시,일반 모니터링 및 계도
55,의창구,팔용동 남산로,0.6,1.9,7.2,낮음,7시,일반 모니터링 및 계도
56,의창구,팔용동 창원대로363번길,0.6,4.4,7.1,낮음,10시,일반 모니터링 및 계도
57,의창구,용동 상남로,0.6,1.9,7.1,낮음,14시,일반 모니터링 및 계도
58,의창구,봉곡동 원이대로285번길,0.6,1.9,6.8,낮음,14시,일반 모니터링 및 계도
59,의창구,소답동 165,0.6,1.5,6.8,낮음,23시,일반 모니터링 및 계도
60,의창구,서상동 평산로211번길,0.5,3.3,6.6,낮음,9시,일반 모니터링 및 계도
61,의창구,북면 무동리 255,0.5,3.0,6.5,낮음,16시,일반 모니터링 및 계도
62,의창구,도계동 450,0.5,1.5,6.4,낮음,20시,일반 모니터링 및 계도
63,의창구,명곡동 도계두리길,0.5,3.7,6.2,낮음,16시,일반 모니터링 및 계도
64,의창구,팔용동아티움시티102동앞,0.5,2.6,6.0,낮음,15시,일반 모니터링 및 계도
65,의창구,팔용동 513,0.5,3.1,5.9,낮음,9시,일반 모니터링 및 계도
66,의창구,중동SJ빌딩,0.5,2.5,5.8,낮음,14시,일반 모니터링 및 계도
67,의창구,소답동 162,0.5,1.7,5.8,낮음,19시,일반 모니터링 및 계도
68,의창구,소답동 173,0.5,1.4,5.6,낮음,0시,일반 모니터링 및 계도
69,의창구,창원시 육아종합지원센터,0.5,1.5,5.6,낮음,9시,일반 모니터링 및 계도
70,의창구,봉곡동 502-40,0.4,1.9,5.5,낮음,21시,일반 모니터링 및 계도
71,의창구,서상동 현대약국,0.4,1.3,5.4,낮음,14시,일반 모니터링 및 계도
72,의창구,봉림동 대봉로,0.4,1.4,5.2,낮음,14시,일반 모니터링 및 계도
73,의창구,서상동 428,0.4,1.3,5.1,낮음,5시,일반 모니터링 및 계도
74,의창구,동읍 용잠로35번길,0.4,1.2,5.0,낮음,9시,일반 모니터링 및 계도
75,의창구,도계동 451,0.4,1.8,5.0,낮음,11시,일반 모니터링 및 계도
76,의창구,동전산단한국화낙,0.4,2.6,4.8,낮음,10시,일반 모니터링 및 계도
77,의창구,팔용동 41-22,0.4,2.3,4.8,낮음,12시,일반 모니터링 및 계도
78,의창구,중동 의창대로272번길,0.4,2.0,4.8,낮음,9시,일반 모니터링 및 계도
79,의창구,중동 405-3,0.4,1.5,4.6,낮음,23시,일반 모니터링 및 계도
80,의창구,용동 중앙역 주변,0.4,1.4,4.6,낮음,14시,일반 모니터링 및 계도
